Chr;Contig_name;Contig_length;Contig_start;Contig_end;ctg_start_sum;ctg_end_sum;Chromosome;Strand;Chromosome_9930;Start_9930;End_9930;Strand_9930;Chromosome_Gy14;Start_Gy14;End_Gy14;Strand_Gy14;Chromosome_blast_9930db;Chromosome_blast_gy14db;Chromosome_according_to_DARTseq_analysis;STC_sequence_id;Chromosome_according_to_FISH_analysis
5;ctg4973;16281;1;16281;9596199;9612480;;;Chr5_9930;9597388;9613668;-;ctg4973;1;16281;+;;;;;
5;ctg5196;15716;1;15716;9612481;9628197;;;Chr5_9930;9613769;9629484;-;Chr5_Gy14;9465704;9481419;-;;;;;
5;ctg5504;17231;1;17231;9628198;9645429;;;Chr5_9930;9629585;9646815;+;ctg5504;1;17231;+;;;;;
5;ctg462;8739;1;8739;9645430;9654169;;;Chr5_9930;9646916;9655654;+;ctg462;1;8739;+;;;;;
5;ctg2923;336767;1;336767;9654170;9990937;;;Chr5_9930;9655755;9992521;-;Chr5_Gy14;9617634;9954400;-;Chr5;Chr5;;;
5;ctg4972;33904;1;33904;9990938;10024842;;;Chr5_9930;9992622;10026525;-;Chr5_Gy14;9954501;9988404;-;;;;;
5;ctg4968;18639;1;18639;10024843;10043482;;;Chr5_9930;10026626;10045264;+;ctg4968;1;18639;+;;;;;
5;ctg3473;427282;1;427282;10043483;10470765;Chr5;-;Chr5_9930;10045365;10472646;-;Chr5_Gy14;10116063;10543344;-;Chr5;Chr5;;;
5;ctg2293;12996;1;12996;10470766;10483762;;;Chr5_9930;10472747;10485742;+;ctg2293;1;12996;+;;;;;
5;ctg1190;426978;1;426978;10483763;10910741;;;Chr5_9930;10485843;10912820;-;Chr5_Gy14;10543445;10970422;-;Chr5;Chr5;;;
5;ctg5866;55411;1;55411;10910742;10966153;;;Chr5_9930;10912921;10968331;+;Chr5_Gy14;10970523;11025933;+;;;;;
5;ctg1173;1821338;1;1821338;10966154;12787492;Chr5;-;Chr5_9930;10968432;12789769;-;Chr5_Gy14;11026034;12847371;-;Chr5;Chr5;;;
5;ctg936;170809;1;170809;12787493;12958302;;;Chr5_9930;12789870;12960678;-;Chr5_Gy14;12847472;13018280;-;Chr5;Chr5;;;
5;ctg2864;90066;1;90066;12958303;13048369;;;Chr5_9930;12960779;13050844;+;Chr5_Gy14;13018381;13108446;+;Chr5;;Chr5;;
5;ctg3223;27784;1;27784;13048370;13076154;;;Chr5_9930;13050945;13078728;-;ctg3223;1;27784;+;;;;;
5;ctg775;34177;1;34177;13076155;13110332;;;Chr5_9930;13078829;13113005;-;Chr5_Gy14;13108547;13142723;-;;;;STC1_Bam_062_O16_M13;Chr5
5;ctg2114;33997;1;33997;13110333;13144330;;;Chr5_9930;13113106;13147102;-;Chr5_Gy14;13491611;13525607;-;;;;;
5;ctg6061;14355;1;14355;13144331;13158686;;;Chr5_9930;13147203;13161557;+;Chr1_Gy14;12728533;12742887;-;;;;;
5;ctg2100;540232;1;540232;13158687;13698919;;;Chr5_9930;13161658;13701889;-;Chr5_Gy14;13572268;14112499;-;Chr5;Chr5;Chr5;;
5;ctg4090;16045;1;16045;13698920;13714965;;;Chr5_9930;13701990;13718034;+;Chr5_Gy14;14112600;14128644;+;;Chr5;;;
5;ctg6826;25098;1;25098;13714966;13740064;;;Chr5_9930;13718135;13743232;+;Chr5_Gy14;14128745;14153842;+;;;;;
5;ctg952;20532;1;20532;13740065;13760597;;;Chr5_9930;13743333;13763864;+;Chr5_Gy14;14153943;14174474;+;Chr5;;;;
5;ctg109;152967;1;152967;13760598;13913565;;;Chr5_9930;13763965;13916931;-;Chr5_Gy14;14174575;14327541;-;Chr5;Chr5;;;
5;ctg7620;16046;1;16046;13913566;13929612;;;Chr5_9930;13917032;13933077;-;Chr5_Gy14;14327642;14343687;-;;;;;
5;ctg1864;142831;1;142831;13929613;14072444;;;Chr5_9930;13933178;14076008;-;Chr5_Gy14;14343788;14486618;-;Chr5;Chr5;;;
5;ctg3496;59280;1;59280;14072445;14131725;;;Chr5_9930;14076109;14135388;-;ctg3496;1;59280;+;;;;;
5;ctg3514;58023;1;58023;14131726;14189749;;;Chr5_9930;14135489;14193511;-;Chr4_Gy14;12234169;12292191;-;;;;;
5;ctg3464;28906;1;28906;14189750;14218656;;;Chr5_9930;14193612;14222517;+;Chr4_Gy14;12169039;12197944;+;;;;;
5;ctg3406;65715;1;65715;14218657;14284372;;;Chr5_9930;14222618;14288332;-;Chr5_Gy14;16604564;16670278;-;;;;;
5;ctg2246;949420;1;949420;14284373;15233793;Chr5;-;Chr5_9930;14288433;15237852;+;Chr5_Gy14;16670379;17619798;+;Chr5;Chr5;Chr5;;
5;ctg2572;181604;1;181604;15233794;15415398;;;Chr5_9930;15237953;15419556;-;Chr5_Gy14;17619899;17801502;-;Chr5;Chr5;;;
5;ctg4268;19481;1;19481;15415399;15434880;;;Chr5_9930;15419657;15439137;+;Chr5_Gy14;17801603;17821083;+;;;;;
5;ctg3475;291534;1;291534;15434881;15726415;Chr5;-;Chr5_9930;15439238;15730771;-;Chr5_Gy14;17821184;18112717;-;Chr5;Chr5;;;
5;ctg1445;69237;1;69237;15726416;15795653;;;Chr5_9930;15730872;15800108;+;Chr5_Gy14;18112818;18182054;+;Chr5;Chr5;;;
5;ctg4272;39884;1;39884;15795654;15835538;;;Chr5_9930;15800209;15840092;-;ctg4272;1;39884;+;;;;;
5;ctg4343;29885;1;29885;15835539;15865424;;;Chr5_9930;15840193;15870077;-;ctg4343;1;29885;+;;;;;
5;ctg2096;21263;1;21263;15865425;15886688;;;Chr5_9930;15870178;15891440;+;ctg2096;1;21263;+;;;;;
5;ctg6049;34313;1;34313;15886689;15921002;;;Chr5_9930;15891541;15925853;+;ctg6049;1;34313;+;;;;;
5;ctg4867;38957;1;38957;15921003;15959960;;;Chr5_9930;15925954;15964910;+;Chr2_Gy14;18764298;18803254;+;;;;;
5;ctg3925;37003;1;37003;15959961;15996964;;;Chr5_9930;15965011;16002013;-;ctg3925;1;37003;+;;;;;
5;ctg3870;171419;1;171419;15996965;16168384;;;Chr5_9930;16002114;16173532;-;ctg3870;1;171419;+;;;;;
5;ctg4294;84146;1;84146;16168385;16252531;;;Chr5_9930;16173633;16257778;-;Chr2_Gy14;20867535;20951680;-;;;;;
5;ctg4863;45791;1;45791;16252532;16298323;;;Chr5_9930;16257879;16303669;-;ctg4863;1;45791;+;;;;;
5;ctg5221;37977;1;37977;16298324;16336301;;;Chr5_9930;16303770;16341746;+;ctg5221;1;37977;+;;;;;
5;ctg2935;30105;1;30105;16336302;16366407;;;Chr5_9930;16341847;16371951;+;Chr4_Gy14;18540091;18570195;+;;;;;
5;ctg7266;26425;1;26425;16366408;16392833;;;Chr5_9930;16372052;16398476;+;Chr4_Gy14;18570296;18596720;+;;;;;
5;ctg3321;22018;1;22018;16392834;16414852;;;Chr5_9930;16398577;16420594;+;ctg3321;1;22018;+;;;;;
5;ctg7126;22098;1;22098;16414853;16436951;;;Chr5_9930;16420695;16442792;+;ctg7126;1;22098;+;;;;;
5;ctg3950;31771;1;31771;16436952;16468723;;;Chr5_9930;16442893;16474663;+;Chr4_Gy14;17471181;17502951;+;;;;;
5;ctg7521;21703;1;21703;16468724;16490427;;;Chr5_9930;16474764;16496466;+;Chr4_Gy14;17503052;17524754;+;;;;;
5;ctg7982;21171;1;21171;16490428;16511599;;;Chr5_9930;16496567;16517737;-;ctg7982;1;21171;+;;;;;
5;ctg641;22930;1;22930;16511600;16534530;;;Chr5_9930;16517838;16540767;+;ctg641;1;22930;+;;;;;
5;ctg596;19208;1;19208;16534531;16553739;;;Chr5_9930;16540868;16560075;-;ctg596;1;19208;+;;;;;
5;ctg402;15190;1;15190;16553740;16568930;;;Chr5_9930;16560176;16575365;+;ctg402;1;15190;+;;;;;
5;ctg4284;17293;1;17293;16568931;16586224;;;Chr5_9930;16575466;16592758;-;ctg4284;1;17293;+;;;;;
5;ctg4033;35595;1;35595;16586225;16621820;;;Chr5_9930;16592859;16628453;+;Chr4_Gy14;16323327;16358921;+;;;;;
5;ctg2375;14925;1;14925;16621821;16636746;;;Chr5_9930;16628554;16643478;-;ctg2375;1;14925;+;;;;;
5;ctg3743;65996;1;65996;16636747;16702743;;;Chr5_9930;16643579;16709574;-;Chr2_Gy14;19406632;19472627;-;;;;;
5;ctg4342;58559;1;58559;16702744;16761303;;;Chr5_9930;16709675;16768233;+;Chr4_Gy14;19229408;19287966;-;;;;;
5;ctg3591;48350;1;48350;16761304;16809654;;;Chr5_9930;16768334;16816683;-;Chr4_Gy14;19288067;19336416;+;;;;;
5;ctg4092;28959;1;28959;16809655;16838614;;;Chr5_9930;16816784;16845742;+;ctg4092;1;28959;+;;;;;
5;ctg4516;24386;1;24386;16838615;16863001;;;Chr5_9930;16845843;16870228;-;ctg4516;1;24386;+;;;;;
5;ctg4451;77235;1;77235;16863002;16940237;;;Chr5_9930;16870329;16947563;+;Chr2_Gy14;24042725;24119959;-;;;;;
5;ctg5247;28427;1;28427;16940238;16968665;;;Chr5_9930;16947664;16976090;+;Chr4_Gy14;18381956;18410382;-;;;;;
5;ctg2650;27700;1;27700;16968666;16996366;;;Chr5_9930;16976191;17003890;+;Chr2_Gy14;20558972;20586671;+;;;;;
5;ctg6264;34727;1;34727;16996367;17031094;;;Chr5_9930;17003991;17038717;+;Chr2_Gy14;20586772;20621498;+;;;;;
5;ctg5735;27083;1;27083;17031095;17058178;;;Chr5_9930;17038818;17065900;+;Chr2_Gy14;20621599;20648681;+;;;;;
5;ctg5904;29724;1;29724;17058179;17087903;;;Chr5_9930;17066001;17095724;+;ctg5904;1;29724;+;;;;;
5;ctg6386;32873;1;32873;17087904;17120777;;;Chr5_9930;17095825;17128697;+;Chr2_Gy14;23905541;23938413;-;;;;;
5;ctg378;93353;1;93353;17120778;17214131;;;Chr5_9930;17128798;17222150;-;Chr5_Gy14;18404218;18497570;-;;Chr5;;;
5;ctg3453;245031;1;245031;17214132;17459163;;;Chr5_9930;17222251;17467281;+;Chr5_Gy14;18497671;18742701;+;Chr5;Chr5;;;
5;ctg1510;22865;1;22865;17459164;17482029;;;Chr5_9930;17467382;17490246;+;ctg1510;1;22865;+;;;;;
5;ctg1037;11432;1;11432;17482030;17493462;;;Chr5_9930;17490347;17501778;-;ctg1037;1;11432;+;;;;;
5;ctg4783;27056;1;27056;17493463;17520519;;;Chr5_9930;17501879;17528934;+;Chr5_Gy14;18845084;18872139;+;;;;;
5;ctg6813;25540;1;25540;17520520;17546060;;;Chr5_9930;17529035;17554574;-;Chr5_Gy14;18872240;18897779;-;;;;;
5;ctg3712;61654;1;61654;17546061;17607715;;;Chr5_9930;17554675;17616328;-;Chr4_Gy14;11454894;11516547;+;;;;;
5;ctg1651;21786;1;21786;17607716;17629502;;;Chr5_9930;17616429;17638214;-;ctg1651;1;21786;+;;;;;
5;ctg3926;31835;1;31835;17629503;17661338;;;Chr5_9930;17638315;17670149;-;ctg3926;1;31835;+;;;;;
5;ctg2761;14254;1;14254;17661339;17675593;;;Chr5_9930;17670250;17684503;-;Chr2_Gy14;22157269;22171522;+;;;;;
5;ctg3393;36274;1;36274;17675594;17711868;;;Chr5_9930;17684604;17720877;+;Chr5_Gy14;18897880;18934153;+;;;;;
5;ctg6291;13885;1;13885;17711869;17725754;;;Chr5_9930;17720978;17734862;-;ctg6291;1;13885;+;;;;;
5;ctg3903;31073;1;31073;17725755;17756828;;;Chr5_9930;17734963;17766035;-;Chr4_Gy14;18410483;18441555;+;;;;;
5;ctg6032;14342;1;14342;17756829;17771171;;;Chr5_9930;17766136;17780477;-;Chr5_Gy14;18934254;18948595;-;;;;;
5;ctg6265;28902;1;28902;17771172;17800074;;;Chr5_9930;17780578;17809479;-;Chr2_Gy14;24939218;24968119;-;;;;;
5;ctg4527;31784;1;31784;17800075;17831859;;;Chr5_9930;17809580;17841363;+;ctg4527;1;31784;+;;;;;
5;ctg2429;14756;1;14756;17831860;17846616;;;Chr5_9930;17841464;17856219;+;ctg2429;1;14756;+;;;;;
5;ctg4674;52170;1;52170;17846617;17898787;;;Chr5_9930;17856320;17908489;+;Chr2_Gy14;23834634;23886803;+;;;;;
5;ctg7008;15607;1;15607;17898788;17914395;;;Chr5_9930;17908590;17924196;-;ctg7008;1;15607;+;;;;;
5;ctg1228;728001;1;728001;17914396;18642397;Chr5;-;Chr5_9930;17924297;18652297;-;Chr5_Gy14;19054748;19782748;-;Chr5;Chr5;Chr5;;
5;ctg90;17025;1;17025;18642398;18659423;;;Chr5_9930;18652398;18669422;-;Chr5_Gy14;19782849;19799873;-;;;;;
5;ctg2506;25939;1;25939;18659424;18685363;;;Chr5_9930;18669523;18695461;+;Chr4_Gy14;16966343;16992281;-;;;;;
5;ctg1546;594170;1;594170;18685364;19279534;;;Chr5_9930;18695562;19289731;+;Chr5_Gy14;19837071;20431240;+;Chr5;Chr5;Chr5;;
5;ctg1675;1986937;1;1986937;19279535;21266472;Chr5;-;Chr5_9930;19289832;21276768;-;Chr5_Gy14;20490294;22477230;-;Chr5;Chr5;Chr5;;
5;ctg1539;8674;1;8674;21266473;21275147;;;Chr5_9930;21276869;21285542;+;ctg1539;1;8674;+;;;;;
5;ctg6;25295;1;25295;21275148;21300443;;;Chr5_9930;21285643;21310937;-;Chr5_Gy14;22477331;22502625;-;;;;;
5;ctg1674;451326;1;451326;21300444;21751770;;;Chr5_9930;21311038;21762363;-;Chr5_Gy14;22502726;22954051;-;Chr5;Chr5;;;
5;ctg1089;15240;1;15240;21751771;21767011;;;Chr5_9930;21762464;21777703;+;ctg1089;1;15240;+;;;;;
5;ctg1403;20465;1;20465;21767012;21787477;;;Chr5_9930;21777804;21798268;+;ctg1403;1;20465;+;;;;;
5;ctg1673;7257304;1;7257304;21787478;29044782;Chr5;-;Chr5_9930;21798369;29055672;-;Chr5_Gy14;22954152;30211455;-;Chr5;Chr5;Chr5;STC1_Bam_065_A04_M13;Chr5
5;ctg1676;69628;1;69628;29044783;29114411;;;Chr5_9930;29055773;29125400;+;Chr5_Gy14;30226998;30296625;+;Chr5;Chr5;;;
5;ctg5981;42156;1;42156;29114412;29156568;;;Chr5_9930;29125501;29167656;-;ctg5981;1;42156;+;Chr5;Chr0;;;
5;ctg7419;24778;1;24778;29156569;29181347;;;Chr5_9930;29167757;29192534;-;Chr5_Gy14;30314365;30339142;-;Chr5;Chr0;;;
5;ctg1678;1069005;1;1069005;29181348;30250353;Chr5;+;Chr5_9930;29192635;30261639;+;Chr5_Gy14;30339243;31408247;+;Chr5;Chr5;Chr5;;
5;ctg1557;5125053;1;5125053;30250354;35375407;Chr1;+;Chr5_9930;30261740;35386792;-;Chr5_Gy14;31408348;36533400;-;Chr5;Chr5;Chr5;;
5;ctg1557;5125053;1;5125053;35375408;40500461;Chr5;-;Chr5_9930;30261740;35386792;-;Chr5_Gy14;31408348;36533400;-;Chr5;Chr5;Chr5;;
6;ctg1402;3145741;1;3145741;1;3145741;Chr6;+;Chr6_9930;1;3145741;+;Chr6_Gy14;6836;3152576;+;Chr6;Chr6;Chr6;;
6;ctg1425;2744891;1;2744891;3145742;5890633;Chr6;+;Chr6_9930;3145842;5890732;+;Chr6_Gy14;3152677;5897567;+;Chr6;Chr6;Chr6;;
6;ctg7247;9806;1;9806;5890634;5900440;;;Chr6_9930;5890833;5900638;+;Chr6_Gy14;5897668;5907473;+;;;;;
6;ctg1429;726970;1;726970;5900441;6627411;Chr6;+;Chr6_9930;5900739;6627708;+;Chr6_Gy14;5907574;6634543;+;Chr6;Chr6;Chr6;;
6;ctg10;274209;1;274209;6627412;6901621;Chr6;-;Chr6_9930;6627809;6902017;-;Chr6_Gy14;6634644;6908852;-;Chr6;Chr6;;;
6;ctg3375;13630;1;13630;6901622;6915252;;;Chr6_9930;6902118;6915747;-;Chr6_Gy14;6908953;6922582;-;Chr6;Chr6;;;
6;ctg3381;14926;1;14926;6915253;6930179;;;Chr6_9930;6915848;6930773;+;Chr6_Gy14;6922683;6937608;+;;;;;
6;ctg3380;16154;1;16154;6930180;6946334;;;Chr6_9930;6930874;6947027;-;Chr6_Gy14;6937709;6953862;-;;Chr6;;;
6;ctg3377;27434;1;27434;6946335;6973769;;;Chr6_9930;6947128;6974561;+;Chr6_Gy14;6953963;6981396;+;;Chr6;;;
6;ctg3374;19800;1;19800;6973770;6993570;;;Chr6_9930;6974662;6994461;-;Chr6_Gy14;6981497;7001296;-;Chr6;Chr6;;;
6;ctg243;10034;1;10034;6993571;7003605;;;Chr6_9930;6994562;7004595;+;ctg243;1;10034;+;;;;;
6;ctg2187;9147;1;9147;7003606;7012753;;;Chr6_9930;7004696;7013842;-;ctg2187;1;9147;+;;;;;
6;ctg3378;17099;1;17099;7012754;7029853;;;Chr6_9930;7013943;7031041;-;ctg3378;1;17099;+;Chr6;Chr6;;;
6;ctg3376;8538;1;8538;7029854;7038392;;;Chr6_9930;7031142;7039679;-;ctg3376;1;8538;+;;;;;
6;ctg3345;5145714;1;5145714;7038393;12184107;Chr6;-;Chr6_9930;7039780;12185493;-;Chr6_Gy14;7001397;12147110;-;Chr6;Chr6;Chr6;;
6;ctg3362;10809;1;10809;12184108;12194917;;;Chr6_9930;12185594;12196402;-;Chr6_Gy14;12147211;12158019;-;;;;;
6;ctg3364;11457;1;11457;12194918;12206375;;;Chr6_9930;12196503;12207959;-;Chr6_Gy14;12158120;12169576;-;;;;;
6;ctg3361;17717;1;17717;12206376;12224093;;;Chr6_9930;12208060;12225776;-;Chr6_Gy14;12169677;12187393;-;;;;;
6;ctg28;26735;1;26735;12224094;12250829;;;Chr6_9930;12225877;12252611;+;Chr6_Gy14;12213653;12240387;+;;;;;
6;ctg1679;800365;1;800365;12250830;13051195;Chr6;+;Chr6_9930;12252712;13053076;+;Chr6_Gy14;12240488;13040852;+;Chr6;Chr6;;;
6;ctg32;13987;1;13987;13051196;13065183;;;Chr6_9930;13053177;13067163;+;Chr6_Gy14;13040953;13054939;+;;;;;
6;ctg1299;416742;1;416742;13065184;13481926;;;Chr6_9930;13067264;13484005;-;Chr6_Gy14;13055040;13471781;-;Chr6;Chr6;;;
6;ctg4007;35320;1;35320;13481927;13517247;;;Chr6_9930;13484106;13519425;-;Chr6_Gy14;13471882;13507201;-;;;;;
6;ctg1296;470598;1;470598;13517248;13987846;;;Chr6_9930;13519526;13990123;-;Chr6_Gy14;13507302;13977899;-;Chr6;Chr6;;;
6;ctg6570;28350;1;28350;13987847;14016197;;;Chr6_9930;13990224;14018573;-;Chr6_Gy14;13978000;14006349;-;Chr6;Chr6;;;
6;ctg1977;9920;1;9920;14016198;14026118;;;Chr6_9930;14018674;14028593;+;ctg1977;1;9920;+;;;;;
6;ctg7238;18246;1;18246;14026119;14044365;;;Chr6_9930;14028694;14046939;-;Chr6_Gy14;14006450;14024695;-;;;;;
6;ctg1544;816487;1;816487;14044366;14860853;Chr6;+;Chr6_9930;14047040;14863526;+;Chr6_Gy14;14024796;14841282;+;Chr6;Chr6;;;
6;ctg275;16274;1;16274;14860854;14877128;;;Chr6_9930;14863627;14879900;-;ctg275;1;16274;+;;;;;
6;ctg1592;322102;1;322102;14877129;15199231;;;Chr6_9930;14880001;15202102;-;Chr6_Gy14;14841383;15163484;-;Chr6;Chr6;;;
6;ctg6722;14163;1;14163;15199232;15213395;;;Chr6_9930;15202203;15216365;+;Chr6_Gy14;15163585;15177747;+;;;;;
6;ctg6250;40285;1;40285;15213396;15253681;;;Chr6_9930;15216466;15256750;-;Chr6_Gy14;15177848;15218132;-;Chr6;;;;
6;ctg6550;17234;1;17234;15253682;15270916;;;Chr6_9930;15256851;15274084;-;ctg6550;1;17234;+;;;;;
6;ctg1269;1002700;1;1002700;15270917;16273617;Chr6;-;Chr6_9930;15274185;16276884;-;Chr6_Gy14;15230546;16233245;-;Chr6;Chr6;Chr6;;
6;ctg6823;22042;1;22042;16273618;16295660;;;Chr6_9930;16276985;16299026;+;Chr6_Gy14;16233346;16255387;+;;;;;
6;ctg1268;535175;1;535175;16295661;16830836;Chr6;-;Chr6_9930;16299127;16834301;-;Chr6_Gy14;16255488;16790662;-;Chr6;Chr6;;;
6;ctg5149;21456;1;21456;16830837;16852293;;;Chr6_9930;16834402;16855857;+;Chr6_Gy14;16790763;16812218;+;;;;;
6;ctg4159;48493;1;48493;16852294;16900787;;;Chr6_9930;16855958;16904450;+;Chr6_Gy14;16895336;16943828;+;;;;;
6;ctg4257;25020;1;25020;16900788;16925808;;;Chr6_9930;16904551;16929570;-;Chr6_Gy14;17088028;17113047;-;;;;;
6;ctg3132;17192;1;17192;16925809;16943001;;;Chr6_9930;16929671;16946862;-;Chr6_Gy14;17113148;17130339;-;;;;;
6;ctg507;23333;1;23333;16943002;16966335;;;Chr6_9930;16946963;16970295;+;Chr6_Gy14;17130440;17153772;+;;;;;
6;ctg2203;108568;1;108568;16966336;17074904;Chr6;-;Chr6_9930;16970396;17078963;-;Chr6_Gy14;17153873;17262440;-;Chr6;Chr6;;;
6;ctg3241;10234;1;10234;17074905;17085139;;;Chr6_9930;17079064;17089297;-;ctg3241;1;10234;+;;;;;
6;ctg3802;78988;1;78988;17085140;17164128;;;Chr6_9930;17089398;17168385;-;Chr6_Gy14;17501008;17579995;-;Chr6;;;;
6;ctg3961;49703;1;49703;17164129;17213832;;;Chr6_9930;17168486;17218188;-;ctg3961;1;49703;+;;;;;
6;ctg3196;19436;1;19436;17213833;17233269;;;Chr6_9930;17218289;17237724;-;ctg3196;1;19436;+;;;;;
6;ctg2489;22235;1;22235;17233270;17255505;;;Chr6_9930;17237825;17260059;-;ctg2489;1;22235;+;;;;;
6;ctg4601;36272;1;36272;17255506;17291778;;;Chr6_9930;17260160;17296431;-;Chr6_Gy14;17393116;17429387;-;;;;;
6;ctg1879;20157;1;20157;17291779;17311936;;;Chr6_9930;17296532;17316688;+;ctg1879;1;20157;+;;;;;
6;ctg3722;72745;1;72745;17311937;17384682;;;Chr6_9930;17316789;17389533;+;Chr5_Gy14;9544789;9617533;+;;;;;
6;ctg5093;25003;1;25003;17384683;17409686;;;Chr6_9930;17389634;17414636;+;ctg5093;1;25003;+;;;;;
6;ctg1266;15604;1;15604;17409687;17425291;;;Chr6_9930;17414737;17430340;-;Chr6_Gy14;16812319;16827922;-;;;;;
6;ctg4589;17406;1;17406;17425292;17442698;;;Chr6_9930;17430441;17447846;-;Chr6_Gy14;16828023;16845428;-;;;;;
6;ctg4648;16373;1;16373;17442699;17459072;;;Chr6_9930;17447947;17464319;-;Chr6_Gy14;16845529;16861901;-;;;;;
6;ctg1263;19983;1;19983;17459073;17479056;;;Chr6_9930;17464420;17484402;-;ctg1263;1;19983;+;;;;;
6;ctg4487;23400;1;23400;17479057;17502457;;;Chr6_9930;17484503;17507902;+;ctg4487;1;23400;+;;;;;
6;ctg3257;11784;1;11784;17502458;17514242;;;Chr6_9930;17508003;17519786;+;ctg3257;1;11784;+;;;;;
6;ctg4091;21921;1;21921;17514243;17536164;;;Chr6_9930;17519887;17541807;-;ctg4091;1;21921;+;;;;;
6;ctg2145;25407;1;25407;17536165;17561572;;;Chr6_9930;17541908;17567314;-;ctg2145;1;25407;+;;;;;
6;ctg4838;23792;1;23792;17561573;17585365;;;Chr6_9930;17567415;17591206;+;ctg4838;1;23792;+;;;;;
6;ctg2041;13306;1;13306;17585366;17598672;;;Chr6_9930;17591307;17604612;-;ctg2041;1;13306;+;;;;;
6;ctg6705;19478;1;19478;17598673;17618151;;;Chr6_9930;17604713;17624190;+;Chr4_Gy14;17968214;17987691;+;;;;;
6;ctg2726;19127;1;19127;17618152;17637279;;;Chr6_9930;17624291;17643417;-;ctg2726;1;19127;+;;;;;
6;ctg996;18163;1;18163;17637280;17655443;;;Chr6_9930;17643518;17661680;-;ctg996;1;18163;+;;;;;
6;ctg5734;10316;1;10316;17655444;17665760;;;Chr6_9930;17661781;17672096;+;ctg5734;1;10316;+;;;;;
6;ctg3975;39452;1;39452;17665761;17705213;;;Chr6_9930;17672197;17711648;-;ctg3975;1;39452;+;;;;;
6;ctg4171;21976;1;21976;17705214;17727190;;;Chr6_9930;17711749;17733724;+;ctg4171;1;21976;+;;;;;
6;ctg1286;15304;1;15304;17727191;17742495;;;Chr6_9930;17733825;17749128;-;ctg1286;1;15304;+;;;;;
6;ctg1285;15093;1;15093;17742496;17757589;;;Chr6_9930;17749229;17764321;-;ctg1285;1;15093;+;;;;;
6;ctg3673;35458;1;35458;17757590;17793048;;;Chr6_9930;17764422;17799879;+;ctg3673;1;35458;+;;;;;
6;ctg584;19082;1;19082;17793049;17812131;;;Chr6_9930;17799980;17819061;+;ctg584;1;19082;+;;;;;
6;ctg407;17992;1;17992;17812132;17830124;;;Chr6_9930;17819162;17837153;+;Chr5_Gy14;15797338;15815329;+;;;;;
6;ctg3530;21852;1;21852;17830125;17851977;;;Chr6_9930;17837254;17859105;-;ctg3530;1;21852;+;;;;;
6;ctg3482;63941;1;63941;17851978;17915919;;;Chr6_9930;17859206;17923146;-;Chr5_Gy14;15503573;15567513;-;;;;;
6;ctg2860;25511;1;25511;17915920;17941431;;;Chr6_9930;17923247;17948757;-;ctg2860;1;25511;+;;;;;
6;ctg3670;148076;1;148076;17941432;18089508;;;Chr6_9930;17948858;18096933;+;Chr4_Gy14;13687794;13835869;+;;;;;
6;ctg3703;78291;1;78291;18089509;18167800;;;Chr6_9930;18097034;18175324;+;ctg3703;1;78291;+;;;;;
6;ctg1848;19290;1;19290;18167801;18187091;;;Chr6_9930;18175425;18194714;-;ctg1848;1;19290;+;;;;;
6;ctg1845;27518;1;27518;18187092;18214610;;;Chr6_9930;18194815;18222332;-;Chr4_Gy14;17535349;17562866;+;;;;;
6;ctg4786;25778;1;25778;18214611;18240389;;;Chr6_9930;18222433;18248210;-;ctg4786;1;25778;+;;;;;
6;ctg1844;25116;1;25116;18240390;18265506;;;Chr6_9930;18248311;18273426;-;ctg1844;1;25116;+;;;;;
6;ctg921;14957;1;14957;18265507;18280464;;;Chr6_9930;18273527;18288483;-;ctg921;1;14957;+;;;;;
6;ctg3485;192690;1;192690;18280465;18473155;;;Chr6_9930;18288584;18481273;-;Chr5_Gy14;15815430;16008119;+;;;;;
6;ctg537;18158;1;18158;18473156;18491314;;;Chr6_9930;18481374;18499531;-;ctg537;1;18158;+;;;;;
6;ctg3746;38298;1;38298;18491315;18529613;;;Chr6_9930;18499632;18537929;-;Chr6_Gy14;17595788;17634085;-;;;;;
6;ctg1456;202439;1;202439;18529614;18732053;Chr6;-;Chr6_9930;18538030;18740468;-;Chr6_Gy14;17634186;17836624;-;Chr6;Chr6;Chr6;;
6;ctg1452;10837;1;10837;18732054;18742891;;;Chr6_9930;18740569;18751405;-;ctg1452;1;10837;+;;;;;
6;ctg1449;996247;1;996247;18742892;19739139;Chr6;+;Chr6_9930;18751506;19747752;-;Chr6_Gy14;18163777;19160023;-;Chr6;Chr6;Chr6;;
6;ctg113;23461;1;23461;19739140;19762601;;;Chr6_9930;19747853;19771313;-;ctg113;1;23461;+;;;;;
6;ctg1170;1021303;1;1021303;19762602;20783905;Chr6;+;Chr6_9930;19771414;20792716;-;Chr6_Gy14;19160124;20181426;-;Chr6;Chr6;Chr6;;
6;ctg1672;261118;1;261118;20783906;21045024;Chr6;-;Chr6_9930;20792817;21053934;-;Chr6_Gy14;20181527;20442644;-;Chr6;Chr6;;;
6;ctg2484;20731;1;20731;21045025;21065756;;;Chr6_9930;21054035;21074765;+;Chr2_Gy14;25344451;25365181;-;;;;;
6;ctg3701;17187;1;17187;21065757;21082944;;;Chr6_9930;21074866;21092052;-;Chr2_Gy14;25327164;25344350;+;;;;;
6;ctg2452;13508;1;13508;21082945;21096453;;;Chr6_9930;21092153;21105660;+;Chr2_Gy14;25313556;25327063;-;;;;;
